"Story","Title","Result","Date","Stability","Duration (s)"
"Reto Siigo","validar login en android","SUCCESS","2023-03-05T18:22:11.4044799-05:00[America/Bogota]","0.0","12.9"
"Cliente Falabella","Compra de un articulo con garantia extendida en firefox","ERROR","2023-03-05T18:17:43.7304806-05:00[America/Bogota]","0.0","12.34"
"Cliente Falabella","Compra de un articulo con garantia extendida en chrome","ERROR","2023-03-05T18:17:43.7414802-05:00[America/Bogota]","0.0","13.97"
