"Story","Title","Result","Date","Stability","Duration (s)"
"CRUD Regresin","Consultar una pagina de usuarios","SUCCESS","2023-03-05T03:44:35.1323652-05:00[America/Bogota]","0.0","2.31"
"CRUD Regresin","Consultar un usuario aleatoriamente","SUCCESS","2023-03-05T03:44:37.4504171-05:00[America/Bogota]","0.0","0.29"
"CRUD Regresin","Resultados de la consulta no encontrados","SUCCESS","2023-03-05T03:44:37.7491353-05:00[America/Bogota]","0.0","0.5"
"CRUD Regresin","Consultar lista de recursos","SUCCESS","2023-03-05T03:44:38.2567642-05:00[America/Bogota]","0.0","0.27"
"CRUD Regresin","Consultar un recurso aleatoriamente","SUCCESS","2023-03-05T03:44:38.5324679-05:00[America/Bogota]","0.0","0.5"
"CRUD Regresin","Resultados de la consulta de recursos no encontrados","SUCCESS","2023-03-05T03:44:39.0377794-05:00[America/Bogota]","0.0","0.5"
